ID,DEPTH,INTENSITY,LATITUDE,LONGITUDE,TIME_STAMP
0,117,2.7,18.3318,-66.419,2014-10-24T00:34:48.700Z
1,74.1,4.7,23.9241,93.9911,2014-10-24T00:05:27.270Z
2,10.16,0.31,33.5155,-116.4615,2014-10-23T23:55:08.060Z
3,1.48,0.8,38.8310013,-122.8075027,2014-10-23T23:48:31.940Z
4,15.85,0.72,33.6333333,-116.6951667,2014-10-23T23:45:14.880Z
5,14.38,5.1,-34.0121,-72.3058,2014-10-23T23:38:51.980Z
6,54.25,4.6,-2.9095,122.7165,2014-10-23T23:32:28.290Z
7,8.88,4.6,64.6895,-17.4709,2014-10-23T23:27:19.080Z
8,0,1.2,65.1274,-149.0987,2014-10-23T23:10:04.000Z
9,67.99,4.9,12.9013,-88.704,2014-10-23T23:05:32.330Z
10,0,1.5,63.7623,-146.8336,2014-10-23T23:05:30.000Z
11,28.9,1.9,61.3382,-149.5889,2014-10-23T22:58:44.000Z
12,50,2.8,18.6643,-64.5783,2014-10-23T22:56:03.400Z
13,15.7,0.9,65.214,-149.1065,2014-10-23T22:55:49.000Z
14,5.45,1.22,37.0273323,-121.1865005,2014-10-23T22:55:16.010Z
15,1.98,0.84,38.7941666,-122.758667,2014-10-23T22:54:36.990Z
16,0,3.3,65.8618,-149.2362,2014-10-23T22:51:49.000Z
17,8.5,1.2,65.2239,-149.0123,2014-10-23T22:42:37.000Z
18,8.7,1.2,65.1467,-149.0935,2014-10-23T22:36:44.000Z
19,4.34,2.91,33.9275,-117.9013333,2014-10-23T22:35:58.180Z
20,2.39,2.77,33.9343333,-117.891,2014-10-23T22:34:43.060Z
21,13.2,1.3,65.1834,-149.0477,2014-10-23T22:22:36.000Z
22,2.31,0.93,38.8088341,-122.8238297,2014-10-23T22:11:06.220Z
23,14.93,0.54,33.4421667,-116.668,2014-10-23T21:54:30.100Z
24,0.62,0.84,36.126,-118.045,2014-10-23T21:20:38.920Z
25,12.9,0.7,65.1906,-149.0896,2014-10-23T21:11:57.000Z
26,3.42,0.74,38.7556648,-122.723999,2014-10-23T20:54:50.870Z
27,4.4,1.5,65.123,-148.9875,2014-10-23T20:50:11.000Z
28,0.01,1.5,33.8631667,-117.5033333,2014-10-23T20:46:41.210Z
29,19,1.87,33.9196667,-116.7835,2014-10-23T20:39:46.040Z
30,9.6,1.6,65.204,-149.0912,2014-10-23T20:28:13.000Z
31,2.44,0.49,38.8248329,-122.8448334,2014-10-23T20:23:36.280Z
32,1.47,2.46,33.8676667,-117.6633333,2014-10-23T20:09:30.110Z
33,0,1.64,41.8718,-119.6549,2014-10-23T20:05:56.664Z
34,0.3,1.4,19.1393,-155.5503,2014-10-23T20:05:08.900Z
35,5.3,1.6,65.1666,-149.093,2014-10-23T19:56:32.000Z
36,14.9,1.2,65.2187,-149.0935,2014-10-23T19:44:57.000Z
37,14.5,1.2,65.182,-149.0946,2014-10-23T19:42:15.000Z
38,135.67,4.7,-7.0398,129.8801,2014-10-23T19:41:56.560Z
39,0.01,1.1,34.0366667,-117.3511667,2014-10-23T19:40:04.560Z
40,5.2,1.7,65.1349,-149.0918,2014-10-23T19:40:03.000Z
41,15,1,65.1402,-149.1075,2014-10-23T19:38:56.000Z
42,4.43,0.86,36.0965,-117.8506667,2014-10-23T19:36:29.750Z
43,7.1,1.6,65.2096,-149.0675,2014-10-23T19:30:34.000Z
44,12,1.3,65.1515,-149.0902,2014-10-23T18:57:20.000Z
45,14.5,1.8,65.0899,-149.1193,2014-10-23T18:52:33.000Z
46,6.1,2,65.1436,-149.0246,2014-10-23T18:50:02.000Z
47,18.44,1.07,33.7118333,-116.7556667,2014-10-23T18:30:58.460Z
48,4,1.5,65.1123,-149.0017,2014-10-23T18:28:56.000Z
49,116.6,2.1,62.9749,-151.3752,2014-10-23T18:27:32.000Z
50,0,2.6,58.3395,-151.1505,2014-10-23T18:20:52.000Z
51,10.1,1.7,65.2174,-149.0742,2014-10-23T18:17:19.000Z
52,14.6,0.8,65.1868,-149.0959,2014-10-23T18:10:27.000Z
53,12.8,1.2,65.1603,-149.0747,2014-10-23T18:07:40.000Z
54,0.01,1.68,33.0473333,-114.985,2014-10-23T18:05:30.020Z
55,8.5,1.3,65.1985,-149.0357,2014-10-23T18:04:26.000Z
56,13.9,1.2,65.232,-149.0212,2014-10-23T18:02:49.000Z
57,5.2,1.4,65.12,-149.0001,2014-10-23T18:01:34.000Z
58,7.1,1.1,65.1424,-149.0668,2014-10-23T17:59:45.000Z
59,13.2,1.1,65.189,-149.0649,2014-10-23T17:57:46.000Z
60,9.2,1.9,65.1254,-148.9927,2014-10-23T17:53:29.000Z
61,34.6,2,61.9984,-149.8341,2014-10-23T17:46:40.000Z
62,32.5,2,19.706,-156.0967,2014-10-23T17:46:25.300Z
63,15.3,1.1,47.2362,-121.6182,2014-10-23T17:41:25.800Z
64,13.4,1.5,65.1653,-149.0166,2014-10-23T17:38:00.000Z
65,9.33,1.3,35.9186667,-118.0078333,2014-10-23T17:34:12.570Z
66,10.48,1.39,35.9186667,-118.0085,2014-10-23T17:33:44.470Z
67,7.8,2.5,65.1679,-149.1205,2014-10-23T17:30:45.000Z
68,15.5,3.4,65.1593,-149.0931,2014-10-23T17:25:23.000Z
69,14.4,1.2,65.1703,-149.0978,2014-10-23T17:22:47.000Z
70,16.2,1.1,65.1986,-149.0056,2014-10-23T17:21:32.000Z
71,333.66,4.2,-22.5961,-65.1447,2014-10-23T17:19:56.520Z
72,0,2.2,42.213,-121.311,2014-10-23T17:11:24.800Z
73,15.2,1.3,65.2256,-149.0843,2014-10-23T17:00:55.000Z
74,9.7,1.4,65.2319,-149.0606,2014-10-23T17:00:20.000Z
75,0.01,0.96,35.8028333,-117.5381667,2014-10-23T16:59:42.160Z
76,0,2.1,65.1506,-148.9917,2014-10-23T16:53:04.000Z
77,12.4,2.1,65.1785,-149.0771,2014-10-23T16:47:47.000Z
78,16.9,5.1,65.1669,-148.9809,2014-10-23T16:30:24.000Z
79,11,1.7,65.211,-149.0546,2014-10-23T16:26:28.000Z
80,88.7,2.6,60.1795,-152.3393,2014-10-23T16:15:37.000Z
81,12.5,2.2,61.2823,-147.5029,2014-10-23T16:14:35.000Z
82,3.41,0.88,38.8136673,-122.8130035,2014-10-23T16:00:38.230Z
83,7.24,1.03,37.112999,-121.5211639,2014-10-23T15:56:04.370Z
84,9.2,1.5,65.1895,-149.0267,2014-10-23T15:16:18.000Z
85,2.01,0.57,38.8411674,-122.7829971,2014-10-23T15:13:05.260Z
86,9.4,0.69,34.1106667,-116.7048333,2014-10-23T15:06:42.410Z
87,6.13,1.55,37.5091667,-119.3446667,2014-10-23T15:04:44.550Z
88,6.69,0.89,37.4428333,-118.6111667,2014-10-23T14:59:51.260Z
89,4.85,0.84,37.474,-118.7928333,2014-10-23T14:58:09.630Z
90,8.5,1.8,63.5427,-147.9016,2014-10-23T14:53:33.000Z
